,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,Age,BusinessTravel,Department,DistanceFromHome,Education,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,TotalWorkingYears,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,JobInvolvement,PerformanceRating,label
0,3.0,4.0,2.0,51,2,2,6,2,0,1,0,1,131160,1.0,11,1.0,1,0,0,3,3,0
1,3.0,2.0,4.0,31,1,1,10,1,0,1,6,2,41890,0.0,23,6.0,5,1,4,2,4,1
2,2.0,2.0,1.0,32,1,1,17,4,1,4,7,1,193280,1.0,15,5.0,5,0,3,3,3,0
3,4.0,4.0,3.0,38,0,1,2,5,1,3,1,1,83210,3.0,11,13.0,8,7,5,2,3,0
4,4.0,1.0,3.0,32,2,1,10,1,1,1,7,2,23420,4.0,12,9.0,6,0,4,3,3,0
5,3.0,2.0,2.0,46,2,1,8,3,0,4,5,1,40710,3.0,13,28.0,7,7,7,3,3,0
6,1.0,3.0,1.0,28,2,1,11,2,1,2,7,2,58130,2.0,20,5.0,0,0,0,3,4,1
7,1.0,2.0,3.0,29,2,1,18,3,1,2,7,1,31430,2.0,22,10.0,0,0,0,3,4,0
8,2.0,4.0,3.0,31,2,1,1,3,1,3,2,1,20440,0.0,21,10.0,9,7,8,3,4,0
9,2.0,1.0,3.0,25,0,1,7,4,0,4,2,0,134640,1.0,13,6.0,6,1,5,3,3,0
10,3.0,4.0,3.0,45,2,1,17,2,1,2,2,1,79910,0.0,13,21.0,20,4,10,2,3,0
11,4.0,1.0,3.0,55,2,1,14,4,0,1,7,2,55380,0.0,17,37.0,36,4,13,3,3,0
12,1.0,2.0,2.0,47,0,1,1,1,1,1,6,1,57620,1.0,11,10.0,10,9,9,2,3,1
13,4.0,4.0,2.0,28,2,1,1,3,1,1,4,1,25920,1.0,14,5.0,5,0,4,3,3,0
14,3.0,4.0,4.0,37,2,1,1,3,1,2,0,1,53460,4.0,11,7.0,5,0,1,3,3,0
15,4.0,3.0,4.0,21,2,1,3,2,1,1,2,2,42130,1.0,12,3.0,3,1,0,2,3,0
16,1.0,4.0,3.0,37,0,1,1,3,1,2,7,0,41270,2.0,13,15.0,5,0,2,3,3,0
17,2.0,2.0,2.0,35,2,2,7,4,1,1,8,0,24380,7.0,16,10.0,7,6,2,2,3,0
18,1.0,1.0,3.0,38,2,1,8,3,0,1,3,0,68700,1.0,11,8.0,8,7,7,3,3,0
19,3.0,2.0,1.0,26,1,1,1,4,1,2,2,0,104470,1.0,18,6.0,6,1,4,3,3,0
20,1.0,2.0,2.0,50,2,2,8,4,1,1,6,0,96670,3.0,23,28.0,10,1,6,2,4,0
21,3.0,3.0,2.0,53,2,1,11,4,0,2,6,1,21480,3.0,11,21.0,5,1,3,3,3,0
22,2.0,4.0,2.0,29,1,1,16,4,1,1,2,2,65130,1.0,11,10.0,10,0,9,3,3,0
23,2.0,4.0,3.0,55,2,1,1,4,0,1,6,1,67990,3.0,11,12.0,10,0,8,3,3,0
24,1.0,1.0,3.0,26,1,1,9,3,0,1,3,1,162910,1.0,22,5.0,5,3,3,3,4,0
25,4.0,4.0,3.0,37,2,2,5,1,1,1,6,2,27050,1.0,11,17.0,17,5,7,3,3,0
26,4.0,3.0,1.0,44,1,1,1,2,1,2,6,0,103330,3.0,14,19.0,1,0,0,2,3,1
27,4.0,4.0,3.0,38,2,2,2,3,0,1,3,0,44480,9.0,12,10.0,2,1,2,2,3,0
28,1.0,2.0,3.0,26,2,1,4,3,1,3,6,0,68540,2.0,11,5.0,3,0,2,2,3,1
29,4.0,4.0,3.0,28,2,1,7,3,1,1,1,2,96370,1.0,13,5.0,5,0,2,2,3,0
30,3.0,1.0,3.0,49,1,1,1,1,0,2,6,2,35910,9.0,13,22.0,3,1,2,3,3,0
31,3.0,2.0,3.0,36,2,2,5,3,1,3,7,2,54050,4.0,14,10.0,8,7,7,3,3,0
32,4.0,2.0,2.0,31,1,1,9,4,1,1,7,0,46840,1.0,16,2.0,2,2,2,3,3,0
33,4.0,4.0,3.0,26,2,1,8,3,1,2,3,2,157870,1.0,12,8.0,8,7,4,3,3,1
34,2.0,4.0,2.0,37,1,2,9,1,1,1,2,1,15140,1.0,14,4.0,4,1,2,3,3,0
35,3.0,2.0,4.0,42,1,2,2,2,1,3,5,1,29560,5.0,13,23.0,20,4,8,3,3,0
36,3.0,3.0,3.0,18,2,1,1,4,1,1,7,2,23350,1.0,14,0.0,0,0,0,2,3,1
37,3.0,2.0,2.0,35,2,2,20,2,1,1,2,1,51540,0.0,19,12.0,11,6,9,2,3,0
38,4.0,2.0,3.0,51,2,1,2,3,1,2,2,0,56750,5.0,13,13.0,4,1,2,2,3,0
39,4.0,2.0,3.0,41,2,1,29,1,1,1,2,2,23790,1.0,12,22.0,22,0,4,3,3,0
40,4.0,3.0,3.0,18,2,2,7,3,1,1,6,2,38120,1.0,15,0.0,0,0,0,3,3,0
41,2.0,1.0,3.0,28,2,1,9,3,1,1,8,2,46480,0.0,23,9.0,8,0,7,2,4,0
42,2.0,4.0,2.0,31,2,1,8,1,1,1,4,1,29360,4.0,12,10.0,8,7,7,3,3,0
43,3.0,4.0,2.0,39,2,2,5,4,0,2,1,0,21050,0.0,20,19.0,18,3,7,3,4,0
44,2.0,2.0,3.0,36,0,1,5,4,1,1,7,1,85780,7.0,21,11.0,9,0,8,3,4,0
45,4.0,3.0,2.0,32,2,2,2,3,1,2,2,1,27060,1.0,21,13.0,13,4,8,3,4,0
46,1.0,2.0,3.0,38,2,1,5,2,0,3,6,1,63840,3.0,19,19.0,10,0,1,2,3,0
47,4.0,3.0,3.0,58,0,1,2,3,1,2,4,0,39680,2.0,13,12.0,5,1,2,2,3,0
48,3.0,4.0,3.0,31,2,1,20,1,0,3,6,1,99070,0.0,13,6.0,5,0,3,2,3,0
49,1.0,1.0,3.0,31,2,2,7,4,1,2,7,1,132250,3.0,21,9.0,2,1,0,3,4,0
50,1.0,1.0,3.0,45,1,1,3,1,0,1,7,0,35400,1.0,13,24.0,24,9,11,3,3,0
51,3.0,4.0,1.0,31,2,2,16,4,0,2,6,0,28040,0.0,19,3.0,2,2,2,3,3,0
52,4.0,2.0,3.0,33,1,1,9,3,1,4,5,1,193920,6.0,12,12.0,10,8,8,3,3,0
53,3.0,1.0,3.0,39,2,2,1,4,1,1,7,1,196650,1.0,22,21.0,21,11,10,3,4,0
54,3.0,4.0,3.0,43,1,1,7,4,1,4,6,2,24390,0.0,15,9.0,8,1,7,3,3,0
55,3.0,3.0,3.0,49,2,1,1,3,1,3,4,2,73140,7.0,22,25.0,7,0,7,3,4,0
56,3.0,2.0,2.0,52,2,1,7,1,0,2,6,1,47740,2.0,18,11.0,8,7,7,3,3,1
57,3.0,2.0,2.0,27,2,1,15,4,1,3,6,2,39020,1.0,22,4.0,4,1,2,3,4,0
58,3.0,2.0,3.0,32,2,1,1,3,1,3,6,1,26620,1.0,11,13.0,13,11,9,4,3,0
59,4.0,3.0,3.0,27,2,1,13,2,0,4,5,2,28560,1.0,12,5.0,5,0,4,4,3,0
60,4.0,4.0,3.0,31,2,2,24,3,1,2,0,0,10810,4.0,11,13.0,7,1,7,4,3,0
61,1.0,4.0,2.0,32,2,1,7,3,1,2,0,2,24720,7.0,13,10.0,7,0,7,3,3,0
62,1.0,4.0,2.0,28,2,1,9,4,1,1,7,1,56730,5.0,14,5.0,3,2,2,2,3,1
63,4.0,4.0,3.0,30,2,1,13,3,0,4,5,1,41970,1.0,13,11.0,10,1,9,3,3,0
64,3.0,3.0,3.0,31,1,1,2,1,0,1,3,1,97130,1.0,17,10.0,10,8,9,2,3,0
65,3.0,4.0,3.0,39,1,1,19,4,0,1,6,1,20620,1.0,13,21.0,21,13,3,3,3,0
66,4.0,3.0,2.0,39,2,1,1,1,0,1,2,1,42840,4.0,17,12.0,1,0,0,3,3,1
67,2.0,4.0,2.0,33,1,2,4,2,1,4,6,2,47880,3.0,11,9.0,7,0,1,3,3,0
68,4.0,3.0,3.0,47,2,1,4,3,0,2,0,1,59060,4.0,23,21.0,3,1,1,4,4,0
69,3.0,3.0,4.0,43,1,1,14,3,0,5,5,0,38860,1.0,17,9.0,9,0,0,3,3,0
70,3.0,2.0,3.0,27,0,1,2,3,1,1,5,1,168230,0.0,17,6.0,5,1,4,3,3,0
71,4.0,3.0,2.0,54,1,1,1,4,1,2,6,2,29330,3.0,12,20.0,4,0,3,3,3,0
72,3.0,1.0,2.0,43,2,1,7,2,0,2,3,1,65000,8.0,23,10.0,1,0,0,3,4,0
73,4.0,4.0,3.0,45,2,2,3,1,0,1,7,1,171740,9.0,14,12.0,10,9,8,3,3,0
74,2.0,4.0,2.0,40,2,1,2,4,1,4,6,1,50330,2.0,14,6.0,4,0,2,3,3,0
75,2.0,1.0,2.0,29,2,1,29,3,0,1,6,1,23070,1.0,13,7.0,7,0,7,3,3,1
76,2.0,4.0,3.0,29,2,0,8,3,1,3,8,2,25870,0.0,22,4.0,3,2,2,3,4,0
77,4.0,3.0,3.0,30,2,1,10,3,1,2,6,0,55070,1.0,12,10.0,10,1,2,2,3,0
78,2.0,2.0,3.0,27,2,1,11,2,1,1,3,1,43930,1.0,18,8.0,8,0,7,2,3,0
79,4.0,4.0,2.0,37,2,2,1,4,1,2,0,0,133480,7.0,14,8.0,6,0,4,3,3,0
80,3.0,4.0,3.0,38,2,1,28,4,1,1,2,0,65830,0.0,12,12.0,11,2,9,3,3,0
81,4.0,2.0,3.0,29,2,1,3,4,1,3,7,0,39780,1.0,11,7.0,7,1,7,3,3,0
82,3.0,2.0,3.0,35,2,2,16,2,1,3,3,2,25440,0.0,13,17.0,16,0,13,4,3,0
83,3.0,4.0,2.0,23,2,1,20,4,1,1,4,0,53990,1.0,23,4.0,4,0,2,2,4,0
84,4.0,2.0,3.0,41,2,1,9,2,0,1,2,2,54870,6.0,19,8.0,5,1,2,3,3,0
85,2.0,3.0,3.0,47,1,2,1,3,0,2,2,2,68340,3.0,16,5.0,0,0,0,4,3,0
86,1.0,4.0,3.0,42,2,1,3,4,1,1,3,2,10910,2.0,22,16.0,1,0,0,1,4,0
87,4.0,3.0,2.0,29,0,2,22,4,1,2,1,1,57360,1.0,22,4.0,4,0,2,2,4,0
88,3.0,3.0,3.0,42,2,2,7,4,1,3,6,0,22260,0.0,12,4.0,3,1,0,2,3,0
